timeArray: [0.0, 0.22294282913208008, 0.5547246932983398, 0.7733070850372314, 0.9923105239868164, 1.215388536453247, 1.5432782173156738, 1.764247179031372, 1.9844927787780762, 2.315459728240967, 2.5381672382354736, 2.760733127593994, 2.9823315143585205, 3.3112635612487793, 3.5329477787017822, 3.753706693649292, 4.082081079483032, 4.304163932800293, 4.522127628326416, 4.741961240768433, 5.068832874298096, 5.290953874588013, 5.510093688964844, 5.8365888595581055, 6.052631378173828, 6.276363372802734, 6.496363639831543, 6.83227276802063, 7.054601430892944, 7.273387670516968, 7.6005940437316895, 7.8235859870910645, 8.04163384437561, 8.365852117538452, 8.58335566520691, 8.803166151046753, 9.021289348602295, 9.350048780441284, 9.56839370727539, 9.895263671875, 10.113528966903687, 10.331921815872192, 10.549720764160156, 10.87409496307373, 11.092400312423706, 11.313057661056519, 11.641885042190552, 11.861900091171265, 12.08091688156128, 12.297032594680786, 12.623827695846558, 12.842293977737427, 13.058658838272095, 13.387381553649902, 13.604602336883545, 13.822373628616333, 14.039947271347046, 14.36490535736084, 14.585029125213623, 14.91458773612976, 15.132964611053467, 15.353596687316895, 15.573630571365356, 15.902499675750732, 16.12550187110901, 16.34543800354004, 16.56377601623535, 16.89157795906067, 17.109710931777954, 17.329925060272217, 17.657962322235107, 17.877339601516724, 18.09960913658142, 18.43142294883728, 18.654525756835938, 18.877761602401733, 19.1002094745636, 19.43508553504944, 19.654980182647705, 19.87274956703186, 20.200819730758667, 20.41939663887024, 20.635797262191772, 20.85623574256897, 21.181891918182373, 21.402982234954834, 21.62026286125183, 21.94749426841736, 22.165695428848267, 22.387316703796387, 22.718372583389282, 22.93879246711731, 23.156903743743896, 23.373602390289307, 23.70037293434143, 23.92235493659973, 24.140679359436035, 24.360255002975464, 24.68755531311035, 24.906062602996826, 25.231264114379883, 25.452314615249634, 25.67362952232361, 25.893468379974365, 26.220187664031982, 26.441364765167236, 26.659151792526245, 26.983556032180786, 27.204026222229004, 27.425536632537842, 27.64291501045227, 27.971433401107788, 28.193286418914795, 28.413177490234375, 28.74284529685974, 28.961583614349365, 29.178232431411743, 29.507445335388184, 29.729175806045532, 29.947518825531006, 30.16743278503418, 30.494892597198486, 30.713563919067383, 30.932994604110718, 31.259425401687622, 31.480965614318848, 31.700212717056274, 32.027228355407715, 32.2462956905365, 32.46619701385498, 32.791438817977905, 33.01061511039734, 33.22857427597046, 33.44554877281189, 33.773361682891846, 33.99653887748718]
lenArray: [0, 0, 1, 1, 1, 2, 3, 3, 4, 4, 5, 6, 7, 7, 8, 9, 10, 10, 11, 12, 12, 13, 14, 14, 15, 16, 17, 17, 17, 17, 18, 18, 18, 18, 19, 19, 19, 19, 20, 20, 20, 21, 22, 23, 24, 25, 25, 26, 27, 28, 29, 29, 30, 30, 30, 30, 31, 32, 32, 33, 34, 34, 34, 34, 34, 34, 34, 34, 35, 36, 36, 36, 37, 38, 38, 39, 40, 40, 40, 41, 42, 42, 42, 43, 44, 44, 44, 44, 45, 46, 47, 48, 49, 50, 51, 51, 51, 51, 52, 52, 53, 54, 55, 55, 56, 56, 56, 56, 56, 56, 56, 56, 57, 58, 58, 59, 59, 59, 60, 61, 62, 63, 63, 63, 64, 64, 65, 66, 67, 68, 69, 70, 71, 71, 72, 72]
======================================

receive 0 signal | time now: 0.0 | total fee now: 2
receive 0 signal | time now: 0.2154698371887207 | total fee now: 2
receive 1 signal | time now: 0.5407986640930176 | total fee now: 2
receive 2 signal | time now: 0.7607231140136719 | total fee now: 2
receive 3 signal | time now: 0.9828836917877197 | total fee now: 2
receive 3 signal | time now: 1.3110136985778809 | total fee now: 6
